N,P,K,temperature,humidity,ph,rainfall,label
86.95,37.04,53.34,29.77,91.16,6.47,25.87,muskmelon
89.32,23.83,51.74,28.33,71.09,6.76,41.17,watermelon
38.94,67.8,46.95,35.87,94.93,6.88,250.44,papaya
57.7,45.71,45.15,25.72,91.26,6.43,147.24,papaya
25.39,138.21,205.98,24.73,93.04,5.75,127.72,apple
25.12,32.72,27.49,30.24,50.01,4.56,73.64,mango
31.57,136.8,195.04,21.62,94.17,6.26,109.87,apple
10.31,56.48,22.06,28.98,59.7,5.5,48.5,mothbeans
30.37,62.95,24.97,30.6,79.31,7.32,41.23,mungbean
20.75,71.93,21.83,25.54,62.66,5.56,58.22,lentil
38.32,64.86,23.67,27.44,69.67,7.46,67.43,blackgram
38.33,20.27,32.16,28.81,92.63,5.57,130.19,coconut
36.66,19.87,36.29,21.58,94.41,6.05,114.09,pomegranate
71.87,51.88,37.49,27.08,72.21,7.24,180.14,jute
28.4,15.3,31.54,29.98,99.38,5.51,218.54,coconut
38.66,17.2,36.47,19.29,90.77,6.15,114.25,pomegranate
25.83,124.8,208.09,20.99,90.13,5.52,118.67,apple
65.01,53.99,19.3,19.8,64.83,5.63,89.1,maize
62.75,59.47,51.47,42.54,92.14,6.33,254.99,papaya
87.76,31.73,54.08,28.18,94.08,6.31,34.65,muskmelon
111.44,19.23,26.09,26.75,56.1,7.43,185.72,coffee
66.01,66.19,47.11,36.11,90.36,6.84,78.4,papaya
16.49,6.74,19.26,28.91,90.55,7.68,111.11,orange
58.75,68.85,50.11,42.19,94.84,6.85,108.15,papaya
44.64,57.74,85.96,19.54,27.67,6.2,79.53,chickpea
78.95,57.66,43.8,27.82,76.49,7.2,160.53,jute
29.13,59.6,15.42,29.49,85.34,6.38,47.69,mungbean
28.13,25.42,24.03,16.56,91.23,7.93,100.16,orange
39.97,63.17,22.48,33.33,64.32,7.49,116.56,pigeonpeas
95.94,53.19,35.09,20.71,84.95,5.51,199.3,rice
33.49,23.28,39.71,23.45,88.82,6.44,115.05,pomegranate
18.21,49.64,15.82,27.68,39.19,8.76,41.42,mothbeans
73.68,45.06,44.86,25.61,72.81,6.33,174.1,jute
17.33,57.65,21.28,19.46,69.86,6.67,55.61,lentil
62.08,36.14,39.3,23.32,85.78,6.79,151.45,jute
45.04,56.88,16.12,25.49,62.57,6.64,67.8,blackgram
81.54,39.38,40.53,26.24,77.8,6.75,193.78,jute
32.79,69.71,84.62,21.42,15.97,7.16,82.46,chickpea
37.64,76.02,75.77,24.02,21.92,7.27,86.37,chickpea
32.76,62.86,19.71,23.22,22.59,5.86,104.48,kidneybeans
64.86,50.49,45.65,38.52,91.06,6.39,54.11,papaya
23.24,16.63,33.25,28.26,58.55,6.66,78.58,mango
58.48,67.72,19.53,27.79,69.59,6.64,77.39,blackgram
91.19,33.74,22.61,22.87,74.26,6.18,91.63,maize
11.42,63.84,21.79,30.16,79.06,6.37,63.55,mungbean
61.33,32.75,18.97,19.19,66.35,6.88,100.03,maize
25.63,55.94,16.28,32.55,30.0,5.75,147.48,pigeonpeas
19.33,28.84,32.84,28.3,95.18,5.75,227.85,coconut
86.42,24.27,48.18,28.33,94.67,6.16,31.81,muskmelon
88.89,55.2,21.41,24.25,65.85,6.0,77.28,maize
28.19,74.95,22.39,25.64,63.87,6.78,69.13,blackgram
114.38,36.71,29.72,25.57,66.72,7.11,163.26,coffee
27.36,112.63,208.87,24.13,89.13,6.28,75.11,grapes
10.66,64.48,15.86,31.07,79.21,6.2,51.0,mungbean
117.23,38.31,34.69,23.63,53.21,7.02,177.07,coffee
18.12,74.86,17.76,23.77,27.44,5.65,101.64,kidneybeans
129.2,41.39,15.79,23.38,77.49,5.85,69.64,cotton
15.22,137.9,196.89,23.93,91.69,6.32,103.92,apple
97.7,71.38,50.44,26.69,79.73,6.11,202.94,banana
26.72,63.87,19.0,25.57,65.83,7.38,64.55,blackgram
83.82,12.79,50.89,28.26,56.66,6.9,58.55,watermelon
18.62,19.81,27.98,25.28,90.03,5.65,209.23,coconut
12.88,57.62,19.23,27.55,61.41,5.7,65.74,lentil
18.39,19.27,24.3,33.2,91.31,6.67,109.29,orange
51.38,69.66,49.25,35.69,90.27,6.84,182.6,papaya
20.52,55.97,15.36,21.33,64.67,5.35,194.55,pigeonpeas
33.77,23.95,27.77,10.37,94.05,7.88,115.79,orange
63.21,50.74,39.1,26.88,76.68,6.1,296.34,rice
103.71,15.81,47.62,29.56,88.31,6.86,27.11,muskmelon
38.02,72.36,22.29,34.37,40.96,6.92,111.48,pigeonpeas
98.76,39.59,50.34,27.57,93.28,6.25,31.66,muskmelon
24.99,14.69,31.13,25.28,95.06,6.81,151.35,coconut
66.15,57.93,42.24,25.83,79.36,7.33,188.33,jute
80.01,77.24,47.08,26.25,83.06,5.78,114.9,banana
34.54,78.45,17.76,28.32,67.01,7.27,87.88,blackgram
46.46,68.08,47.69,43.77,93.35,6.46,174.95,papaya
104.51,87.56,50.48,28.2,77.59,5.58,105.51,banana
130.14,64.12,22.87,26.82,82.07,5.62,80.1,cotton
100.6,25.6,53.3,27.35,54.85,6.28,50.1,watermelon
28.15,22.22,12.06,22.04,90.22,7.64,119.8,orange
100.1,29.03,28.38,23.36,68.87,7.16,191.94,coffee
48.46,62.66,87.48,20.27,21.39,6.26,95.46,chickpea
76.73,62.98,43.66,20.32,75.4,6.06,277.27,rice
13.18,45.65,19.13,29.41,49.74,3.95,49.88,mothbeans
23.95,28.79,28.62,29.49,93.01,6.91,107.12,orange
11.55,18.96,33.13,28.33,48.5,5.63,80.68,mango
82.31,38.43,30.86,26.5,60.5,7.25,151.66,coffee
38.03,62.49,21.35,29.04,42.1,8.32,53.28,mothbeans
54.78,59.52,24.48,27.19,63.26,7.26,71.81,blackgram
33.44,10.58,36.54,22.4,87.75,6.91,125.36,pomegranate
81.3,31.81,18.37,19.21,56.27,7.48,76.12,maize
26.9,59.11,16.37,28.65,45.17,4.42,55.6,mothbeans
132.45,41.49,23.03,24.0,76.89,6.64,64.54,cotton
46.99,47.64,46.88,33.51,93.97,6.15,185.14,papaya
39.9,75.64,23.45,22.73,53.07,4.7,100.44,pigeonpeas
39.37,55.22,23.47,26.59,50.29,7.3,55.08,mothbeans
21.76,79.16,20.58,18.47,23.8,5.64,99.96,kidneybeans
94.55,33.4,30.13,26.69,68.15,7.38,176.76,coffee
44.02,59.16,18.8,31.17,69.7,7.23,87.68,blackgram
21.62,73.54,21.75,20.47,63.52,5.69,45.19,lentil
11.38,7.79,26.87,27.52,98.49,5.85,223.52,coconut
78.23,53.6,37.77,21.32,81.96,6.03,250.04,rice
24.98,13.42,12.4,11.68,94.48,7.38,102.43,orange
94.84,35.47,53.75,27.85,86.36,6.63,24.52,muskmelon
104.86,34.69,46.89,29.61,57.27,6.3,45.93,watermelon
27.63,79.18,19.18,24.84,24.68,6.13,74.94,kidneybeans
80.55,19.35,51.38,24.07,50.82,6.85,53.68,watermelon
99.54,88.1,48.26,29.92,81.67,5.54,132.46,banana
21.63,70.04,17.97,31.57,60.36,4.81,146.52,pigeonpeas
31.91,53.58,16.87,24.21,38.54,6.34,55.43,mothbeans
81.55,75.6,53.31,28.83,78.51,5.88,159.36,banana
66.82,45.57,42.74,23.15,83.46,7.22,196.61,jute
115.77,41.05,15.71,25.86,77.5,6.41,94.39,cotton
12.5,37.86,41.59,22.67,94.12,6.35,124.86,pomegranate
30.76,61.21,22.05,26.12,47.7,6.45,192.99,pigeonpeas
35.94,69.13,84.28,24.72,24.13,6.7,64.56,chickpea
89.76,31.17,20.7,24.86,72.54,6.18,101.06,maize
15.77,11.77,33.54,27.86,94.55,5.72,174.97,coconut
11.57,33.49,46.91,23.59,90.08,6.23,133.81,pomegranate
98.53,35.36,44.7,20.3,88.37,6.29,299.16,rice
21.77,60.06,18.14,22.59,38.6,5.77,189.86,pigeonpeas
29.46,132.31,201.07,15.28,86.97,5.88,78.85,grapes
41.15,63.36,20.19,26.98,68.05,6.69,62.55,blackgram
16.03,9.65,27.55,26.52,93.6,6.13,139.89,coconut
40.87,63.36,75.52,15.24,27.48,6.55,80.72,chickpea
52.32,74.19,16.14,31.44,68.34,7.08,79.39,blackgram
38.0,9.89,32.65,25.12,93.75,5.67,165.25,coconut
64.71,50.18,17.74,22.99,68.03,7.16,70.32,maize
111.18,77.58,53.3,28.52,84.46,5.91,176.06,banana
20.54,37.81,19.86,31.37,31.2,5.37,45.19,mothbeans
96.44,88.88,51.99,28.56,75.52,6.36,149.57,banana
39.1,77.74,22.22,20.33,26.7,5.63,131.15,kidneybeans
24.0,11.58,30.75,23.02,90.38,6.51,109.72,pomegranate
40.38,79.39,87.82,23.22,16.99,7.72,96.91,chickpea
36.79,13.56,34.98,25.02,90.28,6.74,149.95,coconut
11.53,28.86,8.56,27.71,90.34,6.22,110.18,orange
29.54,65.92,20.8,27.82,60.35,5.35,128.84,pigeonpeas
97.21,78.24,53.88,25.2,84.14,6.33,128.68,banana
109.42,89.91,46.13,28.6,80.0,6.39,209.58,banana
30.55,134.63,195.62,24.55,91.52,5.95,116.31,apple
35.59,78.88,23.21,15.02,24.36,5.55,83.18,kidneybeans
104.87,13.27,46.08,29.14,85.99,6.62,22.16,muskmelon
23.28,36.45,23.2,31.13,83.82,6.53,59.99,mungbean
38.15,59.56,24.84,26.08,59.09,6.26,48.69,mothbeans
34.51,21.34,33.39,29.72,92.73,5.75,178.4,coconut
60.44,34.79,24.0,25.87,66.95,6.7,93.25,maize
27.82,137.83,195.47,20.61,92.78,5.83,113.27,apple
37.24,28.62,25.06,27.32,90.25,6.86,181.84,coconut
32.31,58.36,17.99,18.59,26.04,5.78,78.96,kidneybeans
27.88,48.02,16.64,24.93,46.4,9.28,48.6,mothbeans
20.14,38.8,18.92,27.81,86.02,6.31,41.46,mungbean
19.19,67.47,15.72,26.21,65.03,6.65,59.41,lentil
91.06,38.8,53.2,30.83,54.3,6.27,45.71,watermelon
23.06,62.62,18.45,27.27,78.06,6.63,45.49,mungbean
37.35,78.66,23.93,25.97,61.21,5.93,144.73,pigeonpeas
34.91,61.8,21.92,23.02,67.56,6.41,125.7,pigeonpeas
